position,gap_to_leader,tire_age,tire_compound,pit_stops,laps_remaining,safety_car,vsc,radio_sentiment,radio_pit_keyword,position_change_3lap,gap_delta_3lap,won,year,driver_number,lap_number
8,65.70700000000033,11,0,1,18.0,0,0,0.0,0,1,1.811999999999898,0,2018,11,35.0
8,66.66300000000047,12,0,1,17.0,0,0,0.0,0,0,2.2340000000003783,0,2018,11,36.0
8,66.9989999999998,13,0,1,16.0,0,0,0.0,0,0,2.162000000000262,0,2018,11,37.0
8,66.36399999999958,14,0,1,15.0,0,0,0.0,0,0,0.6569999999992433,0,2018,11,38.0
8,66.9360000000006,15,0,1,14.0,0,0,0.0,0,0,0.2730000000001382,0,2018,11,39.0
8,74.82899999999972,16,0,1,13.0,0,1,0.0,0,0,7.829999999999927,0,2018,11,40.0
7,73.05699999999979,17,0,1,12.0,0,0,0.0,0,1,6.693000000000211,0,2018,11,41.0
7,69.20799999999963,18,0,1,11.0,0,0,0.0,0,1,2.271999999999025,0,2018,11,42.0
7,69.04100000000017,19,0,1,10.0,0,0,0.0,0,1,-5.787999999999556,0,2018,11,43.0
7,70.40499999999975,20,0,1,9.0,0,0,0.0,0,0,-2.652000000000044,0,2018,11,44.0
7,71.54199999999946,21,0,1,8.0,0,0,0.0,0,0,2.3339999999998327,0,2018,11,45.0
7,72.77599999999984,22,0,1,7.0,0,0,0.0,0,0,3.7349999999996726,0,2018,11,46.0
7,74.11099999999988,23,0,1,6.0,0,0,0.0,0,0,3.706000000000131,0,2018,11,47.0
7,75.12700000000041,24,0,1,5.0,0,0,0.0,0,0,3.585000000000946,0,2018,11,48.0
7,75.22400000000016,25,0,1,4.0,0,0,0.0,0,0,2.44800000000032,0,2018,11,49.0
7,76.45499999999993,26,0,1,3.0,0,0,0.0,0,0,2.344000000000051,0,2018,11,50.0
7,77.89100000000053,27,0,1,2.0,0,0,0.0,0,0,2.764000000000124,0,2018,11,51.0
7,78.75,28,0,1,1.0,0,0,0.0,0,0,3.52599999999984,0,2018,11,52.0
7,79.3789999999999,29,0,1,0.0,0,0,0.0,0,0,2.923999999999978,0,2018,11,53.0
14,15.645999999999958,1,0,0,51.0,0,0,0.0,0,0,0.0,0,2018,14,2.0
14,18.31899999999996,2,0,0,50.0,0,0,0.0,0,0,0.0,0,2018,14,3.0
14,22.73599999999988,3,0,0,49.0,1,0,0.0,0,0,0.0,0,2018,14,4.0
13,15.705000000000156,4,0,0,48.0,0,0,0.0,0,1,0.0590000000001964,0,2018,14,5.0
13,16.588999999999942,5,0,0,47.0,0,0,0.0,0,1,-1.7300000000000182,0,2018,14,6.0
13,5.729000000000042,6,0,0,46.0,0,0,0.0,0,1,-17.006999999999834,0,2018,14,7.0
11,9.747000000000298,7,0,0,45.0,0,0,0.0,0,2,-5.957999999999856,0,2018,14,8.0
12,15.381000000000313,8,0,0,44.0,0,0,0.0,0,1,-1.207999999999629,0,2018,14,9.0
12,19.063000000000105,9,0,0,43.0,0,0,0.0,0,1,13.33400000000006,0,2018,14,10.0
12,22.4699999999998,10,0,0,42.0,0,0,0.0,0,-1,12.722999999999502,0,2018,14,11.0
12,24.89200000000028,11,0,0,41.0,0,0,0.0,0,0,9.510999999999967,0,2018,14,12.0
12,26.94100000000026,12,0,0,40.0,0,0,0.0,0,0,7.878000000000156,0,2018,14,13.0
12,29.639000000000124,13,0,0,39.0,0,0,0.0,0,0,7.169000000000324,0,2018,14,14.0
12,32.22200000000021,14,0,0,38.0,0,0,0.0,0,0,7.329999999999927,0,2018,14,15.0
12,34.88299999999981,15,0,0,37.0,0,0,0.0,0,0,7.941999999999552,0,2018,14,16.0
12,37.62099999999964,16,0,0,36.0,0,0,0.0,0,0,7.981999999999516,0,2018,14,17.0
12,40.45100000000002,17,0,0,35.0,0,0,0.0,0,0,8.228999999999814,0,2018,14,18.0
13,43.99099999999999,18,0,0,34.0,0,0,0.0,0,-1,9.108000000000176,0,2018,14,19.0
13,47.12899999999991,19,0,0,33.0,0,0,0.0,0,-1,9.508000000000266,0,2018,14,20.0
13,50.2189999999996,20,0,0,32.0,0,0,0.0,0,-1,9.767999999999574,0,2018,14,21.0
13,53.69699999999966,21,0,0,31.0,0,0,0.0,0,0,9.705999999999676,0,2018,14,22.0
13,56.97699999999986,22,0,0,30.0,0,0,0.0,0,0,9.847999999999956,0,2018,14,23.0
13,57.92300000000023,23,0,0,29.0,0,0,0.0,0,0,7.704000000000633,0,2018,14,24.0
12,43.20100000000002,24,0,0,28.0,0,0,0.0,0,1,-10.49599999999964,0,2018,14,25.0
13,49.92500000000018,25,0,0,27.0,0,0,0.0,0,0,-7.05199999999968,0,2018,14,26.0
19,74.54199999999992,1,1,1,26.0,0,0,0.0,0,-6,16.618999999999687,0,2018,14,27.0
18,74.45899999999983,2,1,1,25.0,0,0,0.0,0,-6,31.25799999999981,0,2018,14,28.0
18,75.92799999999988,3,1,1,24.0,0,0,0.0,0,-5,26.0029999999997,0,2018,14,29.0
18,76.72500000000036,4,1,1,23.0,0,0,0.0,0,1,2.1830000000004475,0,2018,14,30.0
17,78.39499999999953,5,1,1,22.0,0,0,0.0,0,1,3.9359999999996944,0,2018,14,31.0
17,80.02400000000034,6,1,1,21.0,0,0,0.0,0,1,4.096000000000458,0,2018,14,32.0
17,82.59299999999985,7,1,1,20.0,0,0,0.0,0,1,5.867999999999483,0,2018,14,33.0
17,85.17299999999977,8,1,1,19.0,0,0,0.0,0,0,6.778000000000247,0,2018,14,34.0
17,88.6210000000001,9,1,1,18.0,0,0,0.0,0,0,8.596999999999753,0,2018,14,35.0
16,92.26800000000004,10,1,1,17.0,0,0,0.0,0,1,9.675000000000182,0,2018,14,36.0
15,93.8149999999996,11,1,1,16.0,0,0,0.0,0,2,8.641999999999825,0,2018,14,37.0
14,93.15499999999976,12,1,1,15.0,0,0,0.0,0,3,4.533999999999651,0,2018,14,38.0
14,95.94800000000032,13,1,1,14.0,0,0,0.0,0,2,3.680000000000291,0,2018,14,39.0
14,113.04799999999976,14,1,1,13.0,0,1,0.0,0,1,19.23300000000017,0,2018,14,40.0
14,102.53599999999916,15,1,1,12.0,0,0,0.0,0,0,9.380999999999403,0,2018,14,41.0
14,102.6939999999995,16,1,1,11.0,0,0,0.0,0,0,6.745999999999185,0,2018,14,42.0
14,103.91600000000015,17,1,1,10.0,0,0,0.0,0,0,-9.131999999999609,0,2018,14,43.0
14,106.73800000000028,18,1,1,9.0,0,0,0.0,0,0,4.202000000001135,0,2018,14,44.0
14,111.5630000000001,19,1,1,8.0,0,0,0.0,0,0,8.869000000000597,0,2018,14,45.0
14,115.48500000000058,20,1,1,7.0,0,0,0.0,0,0,11.569000000000417,0,2018,14,46.0
14,119.52599999999984,21,1,1,6.0,0,0,0.0,0,0,12.787999999999556,0,2018,14,47.0
14,123.15999999999984,22,1,1,5.0,0,0,0.0,0,0,11.596999999999753,0,2018,14,48.0
14,125.66499999999996,23,1,1,4.0,0,0,0.0,0,0,10.179999999999382,0,2018,14,49.0
